Year,PrecipMean,Product
1960,32.4,4203000
1961,32.5,4279000
1962,32.4,4304000
1963,32.8,4453700
1964,32.9,4561100
1965,33.2,4661400
1966,33.2,4726200
1967,33.2,4653200
1968,33.1,4950400
1969,33.1,5070300
1970,33.1,5232900
1971,33.3,5166300
1972,33.5,4370000
1973,33.7,4345300
1974,33.9,3808710
1975,33.9,4708090
1976,34.1,4380120
1977,34.2,3997360
1978,34.5,5203770
1979,34.5,6403227
1980,34.6,5610377
1981,34.7,5393494
1982,34.7,6718279
1983,35.2,5516819
1984,35.5,4239874
1985,35.7,4819987
1986,36.5,5707736
1987,36.8,6136960
1988,37,5733573
1989,37.2,6137530
1990,37,5810665
1991,37.1,5034885
1992,37.5,5304825
1993,37.8,5254032
1994,38.1,6751322
1995,38.5,9388993
1996,38.9,9484807
1997,39.4,7210329
1998,39.7,8392918
1999,40.3,8019830
2000,41,9585753
2001,41.8,9000335
2002,42.7,9532780
2003,42.9,10140082
2004,43.2,12749986
2005,43.4,12672350
2006,43.4,12235743
2007,44.1,13259750
2008,44.5,15534229
2009,44.9,17761202
2010,45.6,18809963
2011,45.9,19651152
2012,46.5,21575457
2013,47.3,23607662
2014,49,25495127
2015,51.2,25384725
2016,53.9,25987204
2017,55.4,25191722
2018,57.6,25428204
2019,58.5,25123792
2020,56.9,25422755
